,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
55,55,북부동 플라플로,플라플로,4.58,229,163,경북 경산시 대학로 281-1 7층,NO INFO,010-4417-5698,http://pf.kakao.com/_EqwKs,"""PLFL(플라플로)는 Placid-flow(잔잔한 흐름, 물결)의 약자로 손님분들의 동선과 시선, 그리고 공간의 확장을 잔잔한 물결에 비유했습니다. 잔잔한 물결이 모...""",공사중,"""{'뷰가 좋아요': '39', '커피가 맛있어요': '35', '친절해요': '28', '디저트가 맛있어요': '26', '음료가 맛있어요': '23'}"""
56,56,북부동 모리커피 영남대점,모리커피 영남대점,초기값,105,18,경북 경산시 대학로 299 104호,"09:00 - 23:30
23:00 라스트오더",0507-872-3858,https://100원커피이벤트-선착순주문하기.com,"""저희 매장은 [패스오더 앱]으로 편하게 주문이 가능한 매장입니다!
앱으로 미리 주문하고 방문 후 기다리지 않는 VIP 경험을 가져보세요!""",공사중,"""{'커피가 맛있어요': '45', '음료가 맛있어요': '43', '가성비가 좋아요': '29', '친절해요': '27'}"""
57,57,압량읍 메가MGC커피 영남대점,메가MGC커피 영남대점,4.73,283,초기값,경북 경산시 대학로 323 메가커피,"08:00 - 24:00
23:45 라스트오더",053-215-7556,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '111', '가성비가 좋아요': '102', '음료가 맛있어요': '87', '친절해요': '72', '디저트가 맛있어요': '29'}"""
58,58,서부2동 씨코드커피,씨코드커피,4.6,114,15,경북 경산시 대학로 58 경산2차우방맨션 제111동5호,07:00 - 19:00,0507-1362-1627,http://instagram.com/ccode_coffee,"""매주 새로운 원두를 핸드드립으로 소개해드리고있습니다
맛있는 커피를 제공하기위해 힘쓰고있습니다.
[외부디저트 반입가능합니다]

*정성껏 남겨주신 소중한 리뷰 감사합니다

방문해주신 모든분들께 감사합니다 :D""",공사중,"""{'커피가 맛있어요': '56', '친절해요': '42', '음료가 맛있어요': '20', '매장이 청결해요': '17', '대화하기 좋아요': '13'}"""
59,59,서부2동 하봄 정평점,하봄 정평점,초기값,46,1,경북 경산시 대학로 59-4 1층 카페 하봄,08:30 - 19:00,053-818-0016,NO INFO,"""콜롬비아.브라질산 블렌딩된 원두로 dark하지않으며 부드럽고 고소한 에소프레소를 드실수 있으며 디카페인.헤이즐넛 고급원두를 사용하며 내가족이 먹는다는 생각으로 건겅한 먹거리를 제공하고자 노력하는 하봄입니다
눈꽃빙수.크로플.허니브레드.모카번.크로크무슈등
저렴하고 맛있는 70여종의 음료와베이커리 다양한 메뉴들이 기다리고 있어요:)
많은 이용 부탁드립니다~""",공사중,"""{'커피가 맛있어요': '36', '가성비가 좋아요': '16', '음료가 맛있어요': '11', '디저트가 맛있어요': '7'}"""
60,60,서부2동 더드림커피 경산정평점,더드림커피 경산정평점,초기값,25,3,경북 경산시 대학로 70 경산1차우방맨션 103동 103호,08:00 - 22:00,0507-0289-3973,http://www.thedreamcoffee.co.kr,"""경산시 정평동(정평역3번출구)에 위치한 테이크아웃커피전문점 더드림커피입니다.
더드림커피전문점에서는 고품격의 최고급원두를 제공하고 있으며, 더드림커피전문점의 빙수는 한번만 먹어본 사람이 없을 정도로 재주문율과 가성비1등을 늘 유지하고 있습니다. 배달의민족, 요기요, 쿠팡잇츠를 통해서 집까지 안전하게 배달해 드리고 있으며, 배달시 엎질러지지 않도록 안전하고 꼼꼼하게 포장해서 보내드린답니다. 우리동네 1등 커피맛집 많은 사랑과 격려 부탁드립니다.
대표메뉴 : 1리터보틀커피, 블루베리치즈빙수, 생딸기빙수, 인절미빙수, 밀크팥빙수, 녹차빙수, 망고빙수, 딸기라떼, 망고밀크쉐이크, 딸기요거트스무디, 프리미엄레인보우케익, 프리미엄초코가나쉬케익, 프리미엄당근케익, 프리미엄순수우유크림케익, 춘천명물감자빵, 고구마빵, 더드림크로플, 벌꿀케이크""",공사중,"""{'커피가 맛있어요': '9', '음료가 맛있어요': '9', '가성비가 좋아요': '8', '디저트가 맛있어요': '3'}"""
61,61,서부2동 잇슈,잇슈,초기값,20,8,경북 경산시 대학로12길 15 1층,09:00 - 21:00,0507-5239-3534,NO INFO,"""경산 정평역 3번 출구 근처 카페 잇슈(IT SOHE)입니다.
정평역 3번출구 경산 방향 첫번째 골목에서 우회전 100미터 아래 위치하고 있습니다

커피 음료 와 수제 크림 도넛 수제 에이드 등을 판매하고 있으며,
산미가 있는 맑고 다양한 향을 느낄수 있는 원두와 묵직하면서 고소함이 한층 높은 원두 중 취향에 맞게 골라 드셔 보실 수 있습니다.

수제 도넛은 레몬 크림. 크림 치즈 크림. 블루 베리 크림. 딸기 크림 4가지 종류이며,
직접 담궈 내어 드리는 에이드는 레몬. 블루베리. 자몽. 딸기 4종이 준비 되어있습니다.

흔하지 않은 감성적인 인테리어로 편안한 공간과 맛있는 커피. 도넛. 음료 제공 하고 있으니 많은 방문 부탁드립니다.""",공사중,"""{'인테리어가 멋져요': '18', '커피가 맛있어요': '17', '디저트가 맛있어요': '14', '사진이 잘 나와요': '11'}"""
62,62,서부2동 카페백서향,카페 백서향,4.62,71,초기값,경북 경산시 대학로12길 21-2 1층,10:00 - 20:00,0507-1428-7334,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '34', '커피가 맛있어요': '24', '인테리어가 멋져요': '11', '음료가 맛있어요': '5', '디저트가 맛있어요': '4'}"""
63,63,서부2동 마실커피 정평점,마실커피 정평점,초기값,74,52,경북 경산시 대학로12길 29 101호,08:00 - 23:00,0507-1315-4894,NO INFO,"""안녕하세요, 마실커피정평점입니다. 앞으로 많은 관심과 이용부탁드립니다:)""",공사중,"""{'커피가 맛있어요': '36', '음료가 맛있어요': '24', '친절해요': '23', '가성비가 좋아요': '23'}"""
64,64,서부2동 텐퍼센트 정평역봉춘점,텐퍼센트커피 경산정평역봉춘점,4.42,295,16,경북 경산시 대학로12길 6 111동 1호,09:00 - 22:00,0507-0289-3538,http://tenpercentcoffee.com/,"""텐퍼센트스페셜티커피 경산정평역봉춘점입니다. 저희 매장은 [패스오더 앱]으로 편하게 주문이 가능한 매장입니다!""",공사중,"""{'커피가 맛있어요': '113', '친절해요': '48', '가성비가 좋아요': '45', '음료가 맛있어요': '44', '매장이 청결해요': '20'}"""
65,65,서부2동 레스트인로드,레스트인로드,초기값,145,34,"경북 경산시 대학로13길 91-22 1, 2층",NO INFO,0507-1478-8220,https://www.instagram.com/rest_in_road,"""정평동 브런치 카페로 운영되고 있습니다! 돈까스, 수제버거, 커피, 음료 다양한 종류가 있습니다^^""",공사중,"""{'인테리어가 멋져요': '83', '음료가 맛있어요': '68', '특별한 메뉴가 있어요': '66', '커피가 맛있어요': '62'}"""
66,66,서부2동 올로르,카페 올로르,4.69,43,초기값,경북 경산시 대학로16길 20 1층 서편 첫번째집,11:00 - 18:00,070-8873-8082,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '11', '음료가 맛있어요': '8', '친절해요': '8', '인테리어가 멋져요': '3', '대화하기 좋아요': '3'}"""
67,67,중방동 단스부띠끄,단스부띠끄,4.58,65,25,경북 경산시 대학로28길 39 1층 단스부띠끄,NO INFO,0507-1315-2159,http://instagram.com/dans_boutique,"""단스부띠끄는 달달한 디저트 상점입니다. 마카롱, 구움과자, 수제청과 커피와 함께 즐겨보세요^^""",공사중,"""{'디저트가 맛있어요': '15', '음료가 맛있어요': '6', '커피가 맛있어요': '5', '특별한 메뉴가 있어요': '5', '친절해요': '4'}"""
68,68,압량읍 카페퀸,카페퀸,4.29,51,초기값,경북 경산시 대학로32길 17,NO INFO,053-813-8138,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '8', '대화하기 좋아요': '6', '매장이 청결해요': '4', '디저트가 맛있어요': '3', '주차하기 편해요': '3'}"""
69,69,압량읍 데일리레코드,데일리레코드,4.56,482,405,경북 경산시 대학로53길 8 1층 데일리레코드 카페,11:30 - 22:00,0507-1300-4160,https://www.instagram.com/cafe_dailyrecord,"""구움과자 단체 예약 받습니다. 단체 예약시 4-5일 전엔 미리 말씀해주셔야 가능합니다. 감사합니다.""",공사중,"""{'디저트가 맛있어요': '299', '커피가 맛있어요': '143', '음료가 맛있어요': '106', '매장이 청결해요': '105', '인테리어가 멋져요': '95'}"""
70,70,북부동 카페솜,카페솜,4.68,75,54,경북 경산시 대학로59길 2 지하 1층,12:00 - 22:30,0507-1336-3673,https://instagram.com/coffee.som?r=nametag,"""보드게임을 즐길 수 있는 아늑한 디저트 카페, 'som' 입니다.

입맛을 사로잡을 다양한 음료와 시그니처 디저트 스모어딥을 맛보실 수 있습니다.

[Option]

- 보드게임
- 좌식형룸
- 파우더룸

Would you like 'som'eting to drink? :)""",공사중,"""{'음료가 맛있어요': '25', '디저트가 맛있어요': '19', '친절해요': '19', '커피가 맛있어요': '14', '대화하기 좋아요': '13'}"""
71,71,북부동 마실커피 영남대점,마실커피 영남대점,4.64,368,238,경북 경산시 대학로61길 19,08:00 - 02:00,053-802-1597,https://www.instagram.com/masil._.coffee,"""NO INFO""",공사중,"""{'커피가 맛있어요': '133', '음료가 맛있어요': '101', '가성비가 좋아요': '93', '친절해요': '85', '매장이 청결해요': '42'}"""
72,72,서부2동 청담커피 경산정평점,청담커피 정평점,초기값,14,3,경북 경산시 대학로8길 25 1층,08:00 - 22:00,0507-1328-2526,https://www.instagram.com/chungdamcoffee_jungpyung,"""High Quality & Low Price
커피의 가격은 합리적으로!
그러나 커피의 품질에는 타협하지 않는 최고급 스페셜티 커피!
최고급 커피와 디저트가 있는 청담커피 입니다.""",공사중,"""{'커피가 맛있어요': '9', '음료가 맛있어요': '7', '친절해요': '7', '특별한 메뉴가 있어요': '7'}"""
73,73,서부2동 램프앤,램프앤,초기값,83,18,경북 경산시 대학로9길 15-1,10:00 - 22:00,053-815-1239,NO INFO,"""경산 정평동 커피맛집, 지하철 정평역에서 2분 거리, 수제케익, 수제디저트, 공간대여(스터디, 파티, 모임, 전시회 등)""",공사중,"""{'커피가 맛있어요': '42', '친절해요': '32', '인테리어가 멋져요': '30', '디저트가 맛있어요': '24'}"""
74,74,서부2동 오이드커피,오이드커피,4.75,63,58,경북 경산시 대학로9길 56-3 3층,NO INFO,0507-1481-8320,https://www.instagram.com/oid_coffee/,"""경산 정평동에 위치한 브런치 카페입니다.""",공사중,"""{'커피가 맛있어요': '31', '디저트가 맛있어요': '28', '매장이 청결해요': '19', '음료가 맛있어요': '18', '친절해요': '17'}"""
75,75,북부동 카페 오비오,카페 오비오,초기값,59,7,경북 경산시 둥지로 72,12:00 - 21:00,010-2134-0080,https://www.instagram.com/cafe_obo,"""경산 임당동에서 음료와 직접 만든 디저트를 판매하고 있습니다 예약 및 포장 가능합니다""",공사중,"""{'커피가 맛있어요': '43', '디저트가 맛있어요': '40', '친절해요': '35', '음료가 맛있어요': '25'}"""
76,76,동부동 스텔라카페,스텔라,4.38,143,19,경북 경산시 들뫼길 306,11:10 - 21:00,053-811-3245,NO INFO,"""NO INFO""",공사중,"""{'뷰가 좋아요': '30', '커피가 맛있어요': '29', '인테리어가 멋져요': '25', '특별한 메뉴가 있어요': '15', '친절해요': '14'}"""
77,77,동부동 카페테디,카페테디,초기값,244,48,경북 경산시 박물관로 29 카페테디 사동 640,NO INFO,0507-1350-4919,https://blog.naver.com/ckh8988,"""어서오세요 '카페테디' 입니다
-
경산 사동 유일한 2층카페
넓은 주차장
1층 테라스
2층 테라스
앤틱한 1층 인테리어
숲에 온듯 한 2층
편안하고 아늑한 분위기
카페 자체가 그냥 포토존
주차장에 전기차 충전소
-
폼페이 머신으로 추출한 크레마 찐한 리얼 커피다양한 디저트
맛은 기본 / 퀄리티
-
위치: 경산시 박물관로 29 [한우리 숯불갈비 옆] 인근에 '경산박물관' '경산세무소' '경산우체국' '경산 법원' 위치
-
-""",공사중,"""{'커피가 맛있어요': '59', '음료가 맛있어요': '47', '친절해요': '39', '디저트가 맛있어요': '30'}"""
78,78,동부동 데일리빈,데일리빈,4.5,298,27,경북 경산시 박물관로 39 1층. 데일리빈,08:00 - 23:00,053-812-8022,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '86', '음료가 맛있어요': '38', '친절해요': '37', '매장이 청결해요': '24', '대화하기 좋아요': '24'}"""
79,79,동부동 아틀리에빈 계양점,아틀리에빈계양점,4.6,674,14,경북 경산시 백양로 100,"08:00 - 21:30
21:10 라스트오더",053-814-1305,http://vinn.co.kr,"""영업시간 - 08:00~23:00 연중무휴
주차가능
남, 여 화장실
무료 와이파이
단체석
예약석
포장가능
모든음료 테이크아웃 1000원 할인
모든음료 HOT, COLD 가격 동일
아메리카노 3500원(테이크아웃 1900원), 카페라테 4000원(테이크아웃(2500원)""",공사중,"""{'커피가 맛있어요': '184', '친절해요': '110', '대화하기 좋아요': '84', '음료가 맛있어요': '76', '매장이 청결해요': '72'}"""
80,80,동부동 헤이미쉬,헤이미쉬드레스카페,4.54,61,57,경북 경산시 백양로29길 15-19 1층,11:00 - 22:00,0507-1419-8087,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '14', '인테리어가 멋져요': '8', '음료가 맛있어요': '6', '디저트가 맛있어요': '5', '친절해요': '5'}"""
81,81,동부동 리본테이블,리본테이블,4.59,276,115,경북 경산시 백양로34길 2-10 1층,NO INFO,0507-1322-5404,https://blog.naver.com/reborntable,"""무방부제 무색소 무화학첨가물 안전하고 건강한 먹거리 만을 고집하는 사동카페 리본테이블입니다.^^ 유기농 비정제 원당으로 만든 수제과일청, 수제잼, 수제...""",공사중,"""{'친절해요': '81', '음료가 맛있어요': '65', '커피가 맛있어요': '58', '디저트가 맛있어요': '52', '특별한 메뉴가 있어요': '26'}"""
82,82,동부동 카페써니,카페써니,4.31,55,초기값,경북 경산시 백양로35길 1-4 1층 카페써니,09:00 - 22:00,053-201-7227,NO INFO,"""<<< 햇살 가득한 음료를 만드는 써니예요^^ >>>
*수제청을 직접 사용하여 에이드를 만들고,
*수제 건강차는 여러분에게 건강함과 기분좋은 시간을 만들어드릴거예요.
*여름엔 인절미 빙수도 맛있습니다.""",공사중,"""{'커피가 맛있어요': '17', '친절해요': '17', '가성비가 좋아요': '7', '음료가 맛있어요': '5', '매장이 청결해요': '4'}"""
83,83,동부동 페이브잇,페이브잇,4.73,29,67,경북 경산시 백자로 58,NO INFO,0507-1404-7422,http://www.instagram.com/fave.it,"""홀 케이크 / 답례품 / 단체주문 / 카페대관 가능해요 :) 자세한 문의는 카카오채널 혹은 인스타 디엠 부탁드려요 !""",공사중,"""{'인테리어가 멋져요': '5', '사진이 잘 나와요': '5', '커피가 맛있어요': '4', '디저트가 맛있어요': '4', '친절해요': '4'}"""
84,84,동부동 커피콜,커피콜,초기값,43,3,경북 경산시 백자로 76 1층 104호,NO INFO,0507-1455-2392,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '12', '음료가 맛있어요': '10', '커피가 맛있어요': '8', '디저트가 맛있어요': '7'}"""
85,85,동부동 모꼬모찌,모꼬모찌 경산사동점,초기값,25,2,경북 경산시 백자로20길 26 1층,NO INFO,070-8277-7006,https://www.instagram.com/mokkomojji_07082777006,"""경산 사동에 새로 생긴 디저트카페입니다
생과일모찌와 그릭요거트 수제청으로 만드는
각종음료 판매를 합니다
아메리카노 2000원 저렴하지만 맛은 깊은 커피
단맛을 줄인 수제청에이드 라떼!
생과일모찌 (딸기.오렌지.파인.키위.청포도.블랙포도등 생과일이 들어간 찹쌀떡입니다)""",공사중,"""{'디저트가 맛있어요': '19', '친절해요': '18', '매장이 청결해요': '15', '커피가 맛있어요': '7'}"""
86,86,남천면 다이룬,다이룬커피,초기값,158,51,경북 경산시 백천서로 8,NO INFO,0507-1354-6007,http://instagram.com/da_e_roon,"""모든 손님들께 편안한 공간이고 싶습니다. 매장내에서 큰소리는 자제해주시고 이용에 불편한 사항이 있으시면 언제든 말씀 부탁드립니다.
광고/홍보하지 않으니 업체 전화 거절합니다.""",공사중,"""{'커피가 맛있어요': '31', '친절해요': '17', '음료가 맛있어요': '16', '디저트가 맛있어요': '9'}"""
87,87,서부1동 카페휴,카페휴,4.42,119,초기값,경북 경산시 삼성현로 190,NO INFO,053-811-9700,https://cafehue.modoo.at,"""NO INFO""",공사중,"""{'커피가 맛있어요': '37', '친절해요': '27', '음료가 맛있어요': '19', '대화하기 좋아요': '17', '매장이 청결해요': '15'}"""
88,88,동부동 카페조감도,카페조감도,4.39,318,50,경북 경산시 삼성현로 484-2,"10:00 - 22:00
21:30 라스트오더",0507-1408-4823,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '130', '음료가 맛있어요': '47', '대화하기 좋아요': '42', '디저트가 맛있어요': '41', '친절해요': '32'}"""
89,89,남산면 브리즈온,브리즈온,초기값,366,180,경북 경산시 삼성현로 665,NO INFO,0507-1389-3234,https://www.instagram.com/cafe.breezeon/,"""경산 신상 고급 도넛 카페 :D

카페 브리즈온에서 산들바람과 함께 최고의 편안한 휴식을 받아가세요!

*(연중무휴)
다양한 종류의 도넛과 함께 브런치 및 음료,디저트가 준비되어있으며, 모든 메뉴를 당일 생산, 판매를 원칙으로 최고의 컨디션으로 제공하고 있습니다!

카페 브리즈온은 항상 여러분들에게 최고의 휴식 공간이 될 수 있도록 노력하겠습니다. 감사합니다 :)

찾아오시는 길
- 경산 인터불고 CC맞은편, 삼성현로 큰 대로변에 위치-""",공사중,"""{'커피가 맛있어요': '219', '인테리어가 멋져요': '200', '디저트가 맛있어요': '181', '뷰가 좋아요': '125'}"""
90,90,남산면 캠핑카페 쉘터,Cafe쉘터,초기값,347,83,경북 경산시 삼성현로 855-6 마양푸드 뒷편,"10:00 - 22:00
21:00 라스트오더",0507-1481-7909,https://www.instagram.com/camping.cafe.shelter/,"""복잡한 일상을 벗어나 휴식과 쉼터를 찾는 당신을 위한 공간 카페 쉘터
브런치 종일 운영(브런치 평일 예약가능)
open am 10:30 -
 pm 22시 (last order) pm 9시
@ 불멍 예약 @
 A타임 : 11 : 00~ 16 : 00
 B타임 : 17 : 00 ~ 21 : 30""",공사중,"""{'인테리어가 멋져요': '190', '친절해요': '134', '주차하기 편해요': '130', '특별한 메뉴가 있어요': '123'}"""
91,91,자인면 모건커피라운지,모건커피라운지,초기값,1075,456,경북 경산시 삼성현로 883 MORGAN coffee lounge,10:30 - 22:00,070-8808-1881,http://www.morgancoffee.co.kr,"""숙련된 로스터가 로스팅하는 스페셜티원두, 전문바리스타가 정성껏 내리는 핸드드립커피, 베테랑미케닉이 차량관리를 해주는 복합공간""",공사중,"""{'커피가 맛있어요': '551', '주차하기 편해요': '284', '친절해요': '251', '매장이 청결해요': '227'}"""
92,92,서부1동 예이크,예이크,초기값,44,6,경북 경산시 삼성현로15길 16 1층,08:00 - 19:30,0507-1353-7195,http://pf.kakao.com/_UFjSxj,"""경산 옥산동에위치한 디저트카페입니다 화려하진않아 도 특별한날, 평범한 날 생각나게하는 디저트를 만들어 드릴게요 상세 메뉴와 라인업은 인스타그램에서...""",공사중,"""{'디저트가 맛있어요': '40', '친절해요': '29', '매장이 청결해요': '22', '특별한 메뉴가 있어요': '20'}"""
93,93,서부1동 하벳케이크,하벳 케이크,초기값,27,6,경북 경산시 삼성현로15길 40 1층 하벳케이크,12:00 - 19:00,0507-1425-5252,NO INFO,"""현재 영업하지않고 있습니다. 11월중 오픈예정 인스타 @ __havet""",공사중,"""{'디저트가 맛있어요': '25', '친절해요': '21', '매장이 청결해요': '14', '특별한 메뉴가 있어요': '10'}"""
94,94,서부1동 디저피,디저피,초기값,84,45,경북 경산시 삼성현로15길 60 1층,NO INFO,0507-1356-9633,https://blog.naver.com/desserpy,"""'dessert bring happiness!'
맛있는 디저트는 하루를 행복하게 만듭니다 :)

좋은 재료로 정성껏 만든 수제 디저트를 판매하는
경산 옥산동의 작은 카페입니다.

너무 달거나 인위적이지 않은 맛,
다시 생각나서 찾게 되는 맛을 목표로,
온 가족이 먹을 수 있는 디저트 가게를 꿈꿉니다 :)

선물포장, 단체주문, 답례품 맛집
3-4일 전 여유있게 주문해주세요 :)

@카카오톡 : 디저피 (예약 및 문의)
@인스타그램 : desserpy (라인업, 이벤트 등)""",공사중,"""{'디저트가 맛있어요': '79', '친절해요': '67', '매장이 청결해요': '40', '커피가 맛있어요': '34'}"""
95,95,동부동 하이오커피 경산영대점,하이오커피 경산영대점,초기값,216,9,경북 경산시 삼풍로 15 백두빌딩 101호,08:00 - 22:00,0507-877-3675,https://events.passorder.co.kr/100won-event-new,"""경산 영남대 후문 (경북테크노파크) 삼풍동에 특별한 당신을 위한 하이오커피 경산영대점이 찾아왔습니다.
저희 매장은 [패스오더 앱]으로 편하게 주문이 가능한 매장입니다!""",공사중,"""{'커피가 맛있어요': '109', '음료가 맛있어요': '66', '친절해요': '47', '가성비가 좋아요': '45'}"""
96,96,동부동 메가MGC커피 경산삼풍점,메가MGC커피 경산삼풍점,4.53,456,초기값,경북 경산시 삼풍로 18 1층,08:00 - 21:00,053-811-0524,NO INFO,"""고객들에게 최선의 서비스를 제공하는 메가커피 경산 삼풍점입니다.""",공사중,"""{'커피가 맛있어요': '170', '가성비가 좋아요': '144', '음료가 맛있어요': '117', '친절해요': '74', '매장이 청결해요': '47'}"""
97,97,동부동 카페렛잇비,카페렛잇비,4.63,94,초기값,경북 경산시 삼풍로 22 카페 렛잇비,11:30 - 23:00,0507-0284-4049,http://pf.kakao.com/_cQuixj,"""경산에서 가장 오래된 카페 산토리니의 2호점 렛잇비 카페 입니다.
생각지 않은 곳에서 의외의 맛을 선물하는 보물같은 맛집 !! 
항상 같은 모습으로!! 언제나 정직한 맛으로!! 동네에서 만나요""",공사중,"""{'커피가 맛있어요': '48', '음료가 맛있어요': '30', '디저트가 맛있어요': '28', '가성비가 좋아요': '20', '특별한 메뉴가 있어요': '19'}"""
98,98,중앙동 카페레이즈,레이즈 경산점,4.78,261,69,경북 경산시 서상길 3-1,NO INFO,0507-1376-5442,https://instagram.com/laze._official?igshid=OGRjNzg3M2Y=,"""양질의 맛과 느긋한 공간을제공하는 주택개조 브런치카 페 '레이즈' 입니다 운영시간은 오전10시부터 오후5시 까지이며 음식 라스트오더는 4시15분 입니다 이...""",공사중,"""{'커피가 맛있어요': '89', '친절해요': '75', '디저트가 맛있어요': '67', '인테리어가 멋져요': '67', '매장이 청결해요': '55', '특별한 메뉴가 있어요': '50', '음료가 맛있어요': '46', '대화하기 좋아요': '46', '사진이 잘 나와요': '36', '뷰가 좋아요': '30', '가성비가 좋아요': '29', '좌석이 편해요': '19', '집중하기 좋아요': '17', '주차하기 편해요': '16', '화장실이 깨끗해요': '15', '음식이 맛있어요': '9', '차분한 분위기에요': '6', '오래 머무르기 좋아요': '3', '메뉴 구성이 알차요': '2', '음악이 좋아요': '2', '아늑해요': '1', '혼밥하기 좋아요': '1', '재료가 신선해요': '1', '기본 안주가 좋아요': '1', '건강한 맛이에요': '1', '단체모임 하기 좋아요': '1'}"""
99,99,중앙동 카페옐로우블루,옐로블루,4.59,176,19,경북 경산시 서상길 55 1층,09:00 - 23:00,053-816-6868,https://www.instagram.com/yellow_____blue,"""NO INFO""",공사중,"""{'커피가 맛있어요': '69', '음료가 맛있어요': '40', '대화하기 좋아요': '32', '친절해요': '31', '인테리어가 멋져요': '28'}"""
100,100,남천면 더프레젠트,더프레젠트,4.59,116,124,경북 경산시 선비길 21 카페더프레젠트,NO INFO,053-814-5200,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '21', '친절해요': '14', '음료가 맛있어요': '12', '대화하기 좋아요': '11', '인테리어가 멋져요': '10'}"""
101,101,중앙동 올웨이즈어거스트,올웨이즈어거스트 경산,4.63,172,377,경북 경산시 선비길2길 44,NO INFO,0507-1330-4623,http://instagram.com/always8coffee,"""애견동반 불가능 합니다.
아이 동반은 좌석 착석의 경우에만 가능합니다.
별도 sns광고 진행 안해요. 전화 및 메일은 보내지 말아주세요""",공사중,"""{'커피가 맛있어요': '23', '디저트가 맛있어요': '14', '인테리어가 멋져요': '13', '주차하기 편해요': '12', '친절해요': '11', '뷰가 좋아요': '9', '매장이 청결해요': '8', '대화하기 좋아요': '8', '좌석이 편해요': '7', '음료가 맛있어요': '6', '사진이 잘 나와요': '5', '특별한 메뉴가 있어요': '4', '화장실이 깨끗해요': '4', '집중하기 좋아요': '2', '가성비가 좋아요': '1'}"""
102,102,서부2동 보더 472-1,보더472-1,초기값,65,6,"경북 경산시 성동로 15-5 1, 2층","11:00 - 22:00
21:30 라스트오더",0507-1466-0352,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '39', '친절해요': '29', '대화하기 좋아요': '24', '디저트가 맛있어요': '21'}"""
103,103,서부1동 몰타,몰타,4.59,165,초기값,경북 경산시 성암로 55,NO INFO,0507-1363-3382,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '73', '음료가 맛있어요': '37', '친절해요': '29', '디저트가 맛있어요': '27', '가성비가 좋아요': '23'}"""
104,104,서부1동 어썸주스 경산점,어썸주스 경산점,초기값,39,10,경북 경산시 성암로11길 1-1 1층,NO INFO,0507-1379-2322,https://793685535.modoo.at,"""NO INFO""",공사중,"""{'커피가 맛있어요': '17', '친절해요': '17', '음료가 맛있어요': '15', '매장이 청결해요': '10'}"""
105,105,서부1동 해피아워,해피아워,초기값,76,26,경북 경산시 성암로15길 12 도로변 1층 HAPPY HOUR,12:00 - 21:00,0507-1353-7776,https://www.instagram.com/happyhour_cafe_/,"""디저트 카페 HAPPY HOUR 입니다. 다양한 음료와 매 일 아침 구워낸 디저트를 판매합니다. 1인매장으로 모든 디저트류는 매일 소량으로 구워내고 있어요. 대...""",공사중,"""{'디저트가 맛있어요': '68', '친절해요': '44', '특별한 메뉴가 있어요': '30', '매장이 청결해요': '28'}"""
106,106,서부1동 카페리아 옥산점,카페리아 옥산점,4.19,281,35,경북 경산시 성암로21길 4 카페리아옥산점,11:30 - 23:30,0507-1364-0040,NO INFO,"""카페리아는 매장에서 직접 로스팅한 신선한 원두를 사용하여 맛있는 커피를 제공하고자 노력하는 포근한 분위기의 아늑한 카페입니다.
여러가지 도서와 보드게임도 준비되어 있으며 크고 작은 화초들도 이뿌게 자리잡고 있습니다.
은은한 커피향과 산뜻한 느낌으로 남녀노소 누구나 편안히 이용가능한 장소가 되도록 늘 최선을 다해 준비하고 있습니다.
오전11시부터 오픈하니 모닝커피한잔 즐기는 여유~~추천합니다.""",공사중,"""{'커피가 맛있어요': '128', '친절해요': '108', '음료가 맛있어요': '74', '대화하기 좋아요': '71', '매장이 청결해요': '59'}"""
107,107,서부1동 카페바이올렛,카페바이올렛,4.64,116,초기값,경북 경산시 성암로5길 1 1층,09:00 - 22:00,0507-1473-9961,NO INFO,"""네가지 콩으로 로스팅한 신선한 커피. 사장님께서 직접 담근 청과 생과일을 착즙 하여 만든 에이드. 생과일 주스. 푸짐하고 시원한 빙수. 수제샌드위치. 아이스크림과 과일을 얹은 허니브래드 등 맛있는 먹거리들이 많이 있습니다!^^""",공사중,"""{'친절해요': '66', '커피가 맛있어요': '57', '매장이 청결해요': '29', '음료가 맛있어요': '28', '주차하기 편해요': '23'}"""
108,108,서부1동 구스켓 인 더 크로플,구스켓 인 더 크로플 본점,초기값,47,32,경북 경산시 성암로7길 6 구스켓 인 더 크로플,NO INFO,0507-1322-4728,NO INFO,"""경산 1등 겉바속촉 크로플 맛집 '구스켓 인 더 크로플 본 점'입니다. 어디서나 크로플은 흔히 드셔 보셨을 겁니다 . 구스켓 만의 크로플은 겉바속촉은 따라오지 못...""",공사중,"""{'디저트가 맛있어요': '32', '친절해요': '28', '음료가 맛있어요': '25', '특별한 메뉴가 있어요': '24'}"""
