카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드,latitude,longitude
비나이다,0.0,15,4,대구 달서구 야외음악당로53길 32 뉴위너스빌 1층,10:00 - 20:00,0507-1330-5960,NO INFO,한국미의공간에서 마시는커피 얼마나맛있게요 어서오시옵소서,NO INFO,"{'디저트가 맛있어요': '8', '친절해요': '7', '커피가 맛있어요': '5', '인테리어가 멋져요': '4', '매장이 청결해요': '4', '특별한 메뉴가 있어요': '3', '대화하기 좋아요': '3', '사진이 잘 나와요': '2', '음료가 맛있어요': '1', '가성비가 좋아요': '1', '집중하기 좋아요': '1'}",35.857622,128.5629145
설렘카페 두류점,0.0,18,2,대구 달서구 야외음악당로53길 60 1층 설렘카페,09:00 - 23:00,0507-1372-6539,NO INFO,설렘카페의 모든 메뉴는 테이크아웃 및 배달이 가능합니다. 단체주문시에는 미리 예약하시면 빠 르게 받아보실 수 있습니다 :) 일상에서 편...,NO INFO,"{'커피가 맛있어요': '7', '음료가 맛있어요': '6', '디저트가 맛있어요': '5', '친절해요': '5', '가성비가 좋아요': '2', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2', '인테리어가 멋져요': '1'}",35.8587974,128.5624285
카페인프룻,4.75,21,23,대구 달서구 야외음악당로7길 63 1층,NO INFO,0507-1322-0280,http://instagram.com/banana0280,"예약주문,포장,배달 전문운영하고 있어
매장 이용 불가합니다.
감사합니다.

대구 과일맛집 '과일향기' 와 카페의 만남

맛있는 과일과 커피향이 가득한 '카페 인 프룻' 입니다

신선한 과일들은 매일 아침 들어오며
커피와 디저트를 함께 즐길 수 있습니다!

모든 과일 디저트 메뉴, 과일음료는
모두 매장에서 판매하는 제철 과일들을 사용합니다

가장 인기 있는 답례선물 메뉴는,
샌드위치와 모둠 과일세트입니다.

제철 과일 또한 소량 패킹과 모듬과일로 간편하게 즐길수 있습니다!",NO INFO,{},35.8399429,128.5493623
레오나렌,0.0,46,8,대구 달서구 야외음악당로7길 70 1층,10:00 - 19:00,0507-1324-4605,https://www.instagram.com/reonaren_rnr,"안녕하세요 레오나렌입니다 :)
성당중학교 앞에 있는 따뜻한 컨셉의 카페입니다.
레터링 케이크도 제작하며 베이킹 클래스도 준비되어 있으니 많은 관심 부탁드려요 :)",NO INFO,"{'디저트가 맛있어요': '33', '친절해요': '28', '커피가 맛있어요': '26', '음료가 맛있어요': '22', '인테리어가 멋져요': '17', '매장이 청결해요': '13', '특별한 메뉴가 있어요': '11', '선물하기 좋아요': '7', '사진이 잘 나와요': '7', '화장실이 깨끗해요': '7', '대화하기 좋아요': '5', '가성비가 좋아요': '4', '집중하기 좋아요': '4', '차분한 분위기에요': '2', '주차하기 편해요': '1', '오래 머무르기 좋아요': '1'}",35.8401512,128.5489646
메가MGC커피 죽전아이위시점,0.0,622,8,대구 달서구 와룡로 123 301동 1층 104호,NO INFO,0507-1428-1139,NO INFO,안녕하세요 메가MGC커피 죽전아이위시점 입니다.,NO INFO,"{'커피가 맛있어요': '220', '가성비가 좋아요': '212', '음료가 맛있어요': '199', '친절해요': '168', '매장이 청결해요': '103', '대화하기 좋아요': '50', '특별한 메뉴가 있어요': '47', '디저트가 맛있어요': '45', '좌석이 편해요': '41', '주차하기 편해요': '29', '화장실이 깨끗해요': '23', '인테리어가 멋져요': '21', '집중하기 좋아요': '13', '사진이 잘 나와요': '8', '뷰가 좋아요': '8', '아늑해요': '1', '혼밥하기 좋아요': '1', '매장이 넓어요': '1'}",35.8450523,128.5368192
컴포즈커피 대구죽전아이위시점,0.0,239,3,대구 달서구 와룡로 123 301동 1층 116호,"06:30 - 22:00
21:50 라스트오더",053-710-9876,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '100', '친절해요': '93', '음료가 맛있어요': '72', '가성비가 좋아요': '72', '매장이 청결해요': '46', '디저트가 맛있어요': '30', '특별한 메뉴가 있어요': '22', '좌석이 편해요': '15', '인테리어가 멋져요': '14', '대화하기 좋아요': '10', '주차하기 편해요': '7', '뷰가 좋아요': '7', '사진이 잘 나와요': '5', '화장실이 깨끗해요': '5'}",35.8450523,128.5368192
청솔로9 장기점,0.0,175,6,대구 달서구 와룡로 123 동화아이위시 상가 107호 청솔로9 장기점,"08:00 - 24:00
23:40 라스트오더",070-4833-0116,NO INFO,NO INFO,NO INFO,"{'음료가 맛있어요': '65', '커피가 맛있어요': '54', '가성비가 좋아요': '50', '친절해요': '42', '디저트가 맛있어요': '40', '매장이 청결해요': '34', '인테리어가 멋져요': '27', '특별한 메뉴가 있어요': '25', '대화하기 좋아요': '13', '사진이 잘 나와요': '8', '좌석이 편해요': '7', '주차하기 편해요': '6', '화장실이 깨끗해요': '5', '집중하기 좋아요': '4'}",35.8450523,128.5368192
공차 대구본리점,4.53,1175,15,대구 달서구 와룡로 130 1층,09:30 - 22:00,053-525-0727,NO INFO,NO INFO,NO INFO,"{'음료가 맛있어요': '311', '차가 맛있어요': '187', '친절해요': '156', '매장이 청결해요': '131', '좌석이 편해요': '63', '대화하기 좋아요': '57', '특별한 메뉴가 있어요': '48', '디저트가 맛있어요': '41', '가성비가 좋아요': '35', '주차하기 편해요': '32', '인테리어가 멋져요': '26', '집중하기 좋아요': '25', '화장실이 깨끗해요': '11', '뷰가 좋아요': '11', '사진이 잘 나와요': '7'}",35.8441262,128.5375237
복호두 대구감삼점,0.0,274,95,대구 달서구 와룡로 138 숭조빌딩 1층,09:30 - 19:00,0507-1440-0352,https://www.instagram.com/bokhodu_gamsam,"복호두 대구 감삼점입니다
카카오 채널: http://pf.kakao.com/_xoxmUxixj
*예약 문의 가능*
팥호두는 9시 30분 이후 구매 및 예약 픽업 가능
앙/레몬 버터는 10:30분 이후 구매 및 예약 픽업 가능
합니당",NO INFO,"{'디저트가 맛있어요': '164', '특별한 메뉴가 있어요': '138', '친절해요': '97', '매장이 청결해요': '96', '가성비가 좋아요': '68', '인테리어가 멋져요': '9', '음료가 맛있어요': '7', '주차하기 편해요': '6', '사진이 잘 나와요': '5', '선물하기 좋아요': '4', '포장이 깔끔해요': '4', '커피가 맛있어요': '3', '좌석이 편해요': '3', '음식이 맛있어요': '2', '대화하기 좋아요': '2', '빵이 맛있어요': '1', '메뉴 구성이 알차요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1', '종류가 다양해요': '1'}",35.8448944,128.5375135
웨이비,4.88,56,7,대구 달서구 와룡로 143 우방드림시티아파트 201동 1층 106호,08:00 - 20:00,0507-1344-6599,http://instagram.com/wavy_no.1,"푸른바다거북은 한때 전 세계적으로 수백만 마리에
달하였으나,최근 그물에 걸려 익사하거나
해양오염과 난개발로 산락장과 서식지가 크게
줄어들어 멸종 위기에 처하였습니다.

인간이 초래한 환경오염으로 고통받는 동물들을
위한 친환경적인 서비스를 통해 새로운 라이프
스타일을 제공하는 커피 브랜드입니다. 환경에
관련한 사회적 이슈가 많은 현시점에서 소비자에게
윤리적 소비의 가치를 전달하고 브랜드를 통해
체감할 수 있도록 하기 위해 고민하였습니다.",NO INFO,"{'커피가 맛있어요': '19', '음료가 맛있어요': '7', '매장이 청결해요': '6', '친절해요': '5', '가성비가 좋아요': '5', '인테리어가 멋져요': '3', '디저트가 맛있어요': '2', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2', '좌석이 편해요': '1', '화장실이 깨끗해요': '1'}",35.8455489,128.5363404
핸즈커피 감삼점,4.7,778,152,대구 달서구 와룡로 145,10:00 - 23:00,0507-1350-3476,http://handscoffee.com/new_hands/,안녕하세요 맛있는 핸즈커피 감삼점입니다 ^^ 항상 친절하고 깨끗한 매장이 되겠습니다 많이 찾아주세요 ^^ 감사합니다 ^^,NO INFO,"{'커피가 맛있어요': '182', '디저트가 맛있어요': '127', '친절해요': '108', '음료가 맛있어요': '98', '인테리어가 멋져요': '96', '매장이 청결해요': '87', '대화하기 좋아요': '80', '좌석이 편해요': '79', '화장실이 깨끗해요': '44', '집중하기 좋아요': '43', '특별한 메뉴가 있어요': '29', '사진이 잘 나와요': '22', '가성비가 좋아요': '14', '뷰가 좋아요': '11', '주차하기 편해요': '8', '오래 머무르기 좋아요': '1'}",35.8459195,128.5364784
텐퍼센트커피 대구죽전역점,0.0,105,15,대구 달서구 와룡로 169 108동 103호,"09:00 - 22:00
21:30 라스트오더",0507-1350-6872,http://www.tenpercentcoffee.com/,NO INFO,NO INFO,"{'커피가 맛있어요': '61', '친절해요': '58', '음료가 맛있어요': '35', '가성비가 좋아요': '30', '매장이 청결해요': '27', '디저트가 맛있어요': '15', '인테리어가 멋져요': '13', '대화하기 좋아요': '12', '좌석이 편해요': '10', '특별한 메뉴가 있어요': '9', '주차하기 편해요': '5', '집중하기 좋아요': '4', '음식이 빨리 나와요': '1', '양이 많아요': '1'}",35.8482582,128.5359789
코셔,0.0,122,58,"대구 달서구 와룡로 169 상가 107동108호(감삼동, 월드마크웨스트엔드)","09:00 - 22:00
21:30 라스트오더",0507-1491-2334,https://www.instagram.com/kosher_coffee,"편히 머물다가실수있는 아늑한 공간이되길,,",NO INFO,"{'커피가 맛있어요': '51', '친절해요': '39', '매장이 청결해요': '39', '디저트가 맛있어요': '35', '음료가 맛있어요': '30', '인테리어가 멋져요': '28', '주차하기 편해요': '17', '대화하기 좋아요': '17', '좌석이 편해요': '14', '가성비가 좋아요': '12', '사진이 잘 나와요': '11', '특별한 메뉴가 있어요': '10', '뷰가 좋아요': '2', '아늑해요': '1'}",35.8482582,128.5359789
커피명가 아리아점,4.38,1757,137,대구 달서구 와룡로 169 월드마크웨스트엔드 103동 108호,09:30 - 23:30,053-525-0892,http://www.myungga.com,NO INFO,NO INFO,"{'커피가 맛있어요': '493', '디저트가 맛있어요': '279', '대화하기 좋아요': '209', '음료가 맛있어요': '167', '좌석이 편해요': '164', '친절해요': '145', '매장이 청결해요': '105', '주차하기 편해요': '86', '인테리어가 멋져요': '69', '특별한 메뉴가 있어요': '50', '집중하기 좋아요': '44', '뷰가 좋아요': '29', '가성비가 좋아요': '27', '화장실이 깨끗해요': '21', '사진이 잘 나와요': '11', '차분한 분위기에요': '2', '아늑해요': '1', '오래 머무르기 좋아요': '1'}",35.8484374,128.536007
루츠루츠 대구 감삼점,4.7,238,152,대구 달서구 와룡로 169 월드마크웨스트엔드 판매시설동 101동 103호,"10:00 - 21:00
20:30 라스트오더",053-219-0913,https://www.instagram.com/ruits.ruits_official,"매일 직접 선별한 프리미엄 과일을 제공합니다 :) 컵과일, 샌드위치 단체주문 프리미엄 과일선물 박스, 과일백 주문 바로 먹을 수 있는 세척...",NO INFO,"{'친절해요': '90', '음료가 맛있어요': '75', '매장이 청결해요': '68', '디저트가 맛있어요': '67', '특별한 메뉴가 있어요': '59', '인테리어가 멋져요': '42', '사진이 잘 나와요': '40', '주차하기 편해요': '16', '가성비가 좋아요': '16', '재료가 신선해요': '13', '커피가 맛있어요': '7', '뷰가 좋아요': '5', '선물하기 좋아요': '4', '대화하기 좋아요': '4', '화장실이 깨끗해요': '3', '좌석이 편해요': '1', '집중하기 좋아요': '1'}",35.8484374,128.536007
일루스터테이블 대구 본점,4.62,498,483,대구 달서구 와룡로 169 판매시설동 1층 102-110호,"10:00 - 20:00
15:30 - 16:30 브레이크타임
19:20 라스트오더",010-5399-4540,https://www.instagram.com/illuster_table,"We provide precious moments and an illustrious table for you. Enjoy the table. 샌드위치, 프렌치 토스트, 파스타, 김치볶음밥 등의 식사는 ...",NO INFO,{},35.8482582,128.5359789
이디야커피 대구죽전역점,0.0,452,9,대구 달서구 와룡로 169 판매시설동1층 102-106호,09:00 - 23:00,053-561-7665,http://www.ediya.com/,"Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.",NO INFO,"{'커피가 맛있어요': '141', '음료가 맛있어요': '90', '친절해요': '86', '매장이 청결해요': '61', '가성비가 좋아요': '60', '대화하기 좋아요': '59', '디저트가 맛있어요': '48', '좌석이 편해요': '39', '인테리어가 멋져요': '14', '주차하기 편해요': '14', '집중하기 좋아요': '12', '특별한 메뉴가 있어요': '10', '사진이 잘 나와요': '7', '화장실이 깨끗해요': '6'}",35.8482582,128.5359789
이삐커피 대구죽전역점,0.0,39,12,대구 달서구 와룡로 186 신세계빌리브스카이 1층 상가 134호,NO INFO,0507-1456-2930,NO INFO,"웃음을 주는 커피,웃는 디저트
누구나 좋아하는 디저트 카페, 이삐커피

정성을 담은 스페셜티와 섬유질이 풍부한 프랑스 고메 버터로 만든 디저트, 매일 신선함으로 고객에게 다가갑니다.",NO INFO,"{'디저트가 맛있어요': '19', '가성비가 좋아요': '19', '커피가 맛있어요': '12', '친절해요': '12', '매장이 청결해요': '9', '음료가 맛있어요': '8', '특별한 메뉴가 있어요': '7', '인테리어가 멋져요': '4', '주차하기 편해요': '3', '사진이 잘 나와요': '2', '대화하기 좋아요': '1', '화장실이 깨끗해요': '1'}",35.8489597,128.5401826
두두커피,4.58,82,10,대구 달서구 와룡로 208 두두커피,10:00 - 21:00,053-565-5008,https://donghyangcoffee.modoo.at,단골손님이 많은 카페입니다. 한번 오신 분들은 잊지 않고 또 찾아와주신답니다.,NO INFO,"{'커피가 맛있어요': '34', '친절해요': '16', '음료가 맛있어요': '14', '주차하기 편해요': '6', '대화하기 좋아요': '5', '가성비가 좋아요': '4', '매장이 청결해요': '4', '디저트가 맛있어요': '3', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '뷰가 좋아요': '2', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}",35.8513648,128.5376302
카페 check,4.68,56,0,대구 달서구 와룡로 231 카페 체크,07:30 - 22:00,0507-1393-4998,http://instagram.com/check_cafe,NO INFO,NO INFO,"{'커피가 맛있어요': '21', '친절해요': '19', '가성비가 좋아요': '16', '음료가 맛있어요': '14', '디저트가 맛있어요': '8', '매장이 청결해요': '8', '대화하기 좋아요': '4', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '주차하기 편해요': '1', '화장실이 깨끗해요': '1'}",35.85329970000001,128.5369258
트리니티카페 삼일점,4.0,38,0,대구 달서구 와룡로13길 23,NO INFO,NO INFO,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '16', '가성비가 좋아요': '9', '대화하기 좋아요': '9', '친절해요': '7', '주차하기 편해요': '4', '음료가 맛있어요': '3', '특별한 메뉴가 있어요': '3', '매장이 청결해요': '3', '좌석이 편해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '1'}",35.8379029,128.5354439
그릿 죽전점,4.5,130,40,대구 달서구 와룡로28길 13 1층 101호,"10:00 - 20:00
19:30 라스트오더",0507-1366-9874,https://instagram.com/grit_jukjeon?igshid=13ik5940jjmdr,"저희 매장은 키즈,반려동물 환영해요!
단, 매너를 지켜주시는건 당연하겠죠? 모두가 같은마음일 수는 없지만 서로 매너만 지켜준다면 얼마나 좋을까요:-D",NO INFO,"{'친절해요': '39', '커피가 맛있어요': '34', '디저트가 맛있어요': '34', '특별한 메뉴가 있어요': '33', '매장이 청결해요': '31', '인테리어가 멋져요': '21', '음료가 맛있어요': '18', '가성비가 좋아요': '17', '화장실이 깨끗해요': '12', '좌석이 편해요': '10', '사진이 잘 나와요': '8', '대화하기 좋아요': '8', '집중하기 좋아요': '4', '뷰가 좋아요': '4', '주차하기 편해요': '2'}",35.8448815,128.5380623
파이메이트,0.0,6,1,대구 달서구 와룡로28길 75 1층 101호,10:00 - 19:00,0507-1441-0732,https://www.instagram.com/piemate_,"안녕하세요.
호주식 미트파이 전문점 <파이메이트>입니다.

호주의 가정식 미트파이는
페이스트리 반죽 안에 다양한 야채와 소고기로 만드는 필링을 넣어 구워내는 빵 입니다.

가정식처럼 신선한 야채를 직접 손질하고
100% 호주산 소고기가 듬뿍 들어가
더욱 건강하고 든든한 맛 입니다.

호주의 미트파이 공장에서 일해본 경험이 있으며, 호주에서 지낸 경험을 바탕으로 더욱 진정성있게 조리하고 있습니다!

수제로 만드는 따끈한 미트파이를 경험해보세요!

GOOD DAY MATE!",NO INFO,{},35.8448653,128.5415475
제이스베이커리,4.78,148,206,대구 달서구 와룡로28길 83,"11:00 - 21:00
20:15 라스트오더",053-269-8843,https://instagram.com/jaysbakery_daegu?igshid=1xgb5ptjdinjn,NO INFO,NO INFO,"{'디저트가 맛있어요': '36', '커피가 맛있어요': '31', '친절해요': '15', '음료가 맛있어요': '13', '특별한 메뉴가 있어요': '12', '매장이 청결해요': '8', '가성비가 좋아요': '7', '대화하기 좋아요': '6', '인테리어가 멋져요': '4', '사진이 잘 나와요': '4', '좌석이 편해요': '3', '집중하기 좋아요': '3', '주차하기 편해요': '1'}",35.8448619,128.5419729
르아쇼,4.49,149,327,대구 달서구 와룡로28길 97 르아쇼,NO INFO,0507-1444-5389,https://blog.naver.com/leachaud,덜 달고 맛있는 마카롱 다쿠아즈전문점입니다 글루텐프리 제품 (다쿠아즈 휘낭시에 케이크 티그레),NO INFO,"{'디저트가 맛있어요': '69', '친절해요': '32', '특별한 메뉴가 있어요': '20', '매장이 청결해요': '18', '커피가 맛있어요': '7'}",35.848291,128.5359266
웜톤에스프레소바,0.0,269,168,대구 달서구 와룡로31길 11 . 1층(감삼동),NO INFO,NO INFO,https://www.instagram.com/warm_tone_espresso.bar?igshid=YmMyMTA2M2Y=,Open I Close 09:00 - 22:00 - 대구광역시 달서구 와룡로 31길 11 (1층) - 주차가능 - YES KIDS - Y ES PET - 문의는 인스타 DM으로 부탁드...,NO INFO,"{'커피가 맛있어요': '134', '인테리어가 멋져요': '93', '친절해요': '70', '매장이 청결해요': '51', '사진이 잘 나와요': '49', '음료가 맛있어요': '45', '대화하기 좋아요': '37', '주차하기 편해요': '35', '뷰가 좋아요': '33', '특별한 메뉴가 있어요': '31', '디저트가 맛있어요': '26', '가성비가 좋아요': '17', '좌석이 편해요': '13', '화장실이 깨끗해요': '8', '집중하기 좋아요': '2'}",35.84625279999999,128.5355208
캔버스 죽전점,0.0,133,1,대구 달서구 와룡로31길 22 1층,08:00 - 21:00,053-219-3535,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '58', '가성비가 좋아요': '56', '친절해요': '44', '음료가 맛있어요': '38', '특별한 메뉴가 있어요': '8', '매장이 청결해요': '7', '디저트가 맛있어요': '6', '주차하기 편해요': '3', '대화하기 좋아요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '뷰가 좋아요': '2', '집중하기 좋아요': '1'}",35.8353079,128.5365388
사운즈커피 죽전점,0.0,5,2,대구 달서구 와룡로31길 26 301동 1층 3~4호,"08:00 - 22:00
21:00 라스트오더",0507-1384-8434,NO INFO,"2023-05-16-화 픈예정입니다.
연중무휴 08:00-22:00 (라스트오더 21:00)

다양한 생두들을 구매하고 다양한 종류의 커피들,
베이커리를 좋은 가격에 판매하고 있습니다.

언제나 더 높은 품질, 더 낮은 가격을 고민하는
사운즈커피 입니다.

상하목장 아이스크림으로 만드는 다양한 아이스크림도 있어요!!

HIGH QUALITY ! LOW PRICE !
SOUNDS COFFEE !",NO INFO,{},35.8353079,128.5365388
커피앤과일프렌즈,4.73,21,75,대구 달서구 와룡로32길 118 프렌즈,NO INFO,0507-1312-5841,https://blog.naver.com/kyh971104,감삼동커피맛집.과일수제청전문점.과일도시락.오늘의과일한접시 전문점입니다 그리고 120겹파이 체인점^^,NO INFO,{},35.8459175,128.5439417
고양이랑카페놀이,0.0,12,15,대구 달서구 와룡로32길 37,12:00 - 21:00,053-522-9226,NO INFO,당분간 개인 사정으로 주말영업만 가능한점 양해 부탁드립니다!!!,NO INFO,{},35.8463174,128.5394839
반할커피,0.0,54,1,대구 달서구 와룡로32길 58 1층,NO INFO,0507-1368-4413,https://www.instagram.com/cafe__bh,"약 90여가지의 음료와 수제 디저트를 판매하는 전문카페 반할커피

*휴무일 : 매달 첫째,셋째 월요일",NO INFO,"{'커피가 맛있어요': '18', '친절해요': '9', '가성비가 좋아요': '8', '음료가 맛있어요': '7', '디저트가 맛있어요': '6', '매장이 청결해요': '6', '특별한 메뉴가 있어요': '5', '화장실이 깨끗해요': '4', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '주차하기 편해요': '2', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '사진이 잘 나와요': '1'}",35.8460376,128.5406089
단단호박,0.0,52,16,대구 달서구 와룡로32길 79 1층 단단호박,NO INFO,070-7677-7939,https://smartstore.naver.com/dandan_pumpkin,"* 매주 일요일, 매월 네 번째 월요일 정기 휴무
* 테이크아웃 전문점입니다. 홀X
* 20:00 이후 전화 또는 배달의 민족, 대구로 어플 주문만 가능
* 기타 휴무 및 공지는 인스타그램 참고

안녕하세요 단단호박 입니다 !

고객님께 드리는 디저트는 수제 디저트이며, 단호박이 들어간 메뉴는 직접 손질한 단호박을 찌거나 요리하여 사용합니다 :)

예약문의는 인스타 @dandan_pumpkin 으로 DM주시면 안내드리겠습니다 :)

고객님의 소중한 순간들에 단단호박이 좋은 기억으로 남았으면 좋겠습니다.",NO INFO,"{'디저트가 맛있어요': '44', '음료가 맛있어요': '36', '특별한 메뉴가 있어요': '30', '친절해요': '28'}",35.8462286,128.5418033
DESSERT CAFE MONE,0.0,19,7,대구 달서구 와룡로43길 69 1층 디저트카페 모네,NO INFO,0507-1314-2594,NO INFO,"안녕하세요, 디저트 카페 MONE(모네)입니다.:) 마카롱 및 쿠키 등 구움과자를 판매하는 수제 디 저트 카페입니다. 많이 놀러 와주세요.:) **...",NO INFO,"{'친절해요': '16', '디저트가 맛있어요': '15', '매장이 청결해요': '13', '가성비가 좋아요': '8', '커피가 맛있어요': '7', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '3', '선물하기 좋아요': '2', '좌석이 편해요': '1', '음료가 맛있어요': '1', '포장이 깔끔해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1'}",35.8519069,128.5332385
뚜바비앙 오브점,0.0,73,1,대구 달서구 와룡로45길 54 1층,10:00 - 00:30,0507-1408-7805,NO INFO,홀은 오전 11시 부터 오후 8시까지 테이크 아웃은 오전 10시부터 다음날 오전 2시 반까지 운영합니다!,NO INFO,"{'친절해요': '44', '커피가 맛있어요': '31', '매장이 청결해요': '23', '음료가 맛있어요': '16', '인테리어가 멋져요': '13', '집중하기 좋아요': '13', '디저트가 맛있어요': '12', '대화하기 좋아요': '11', '좌석이 편해요': '9', '화장실이 깨끗해요': '7', '가성비가 좋아요': '6', '특별한 메뉴가 있어요': '6'}",35.8532303,128.534079
죽전 그 카페,4.67,33,0,대구 달서구 와룡로45길 8,12:00 - 22:00,0507-1314-5922,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '6', '친절해요': '6', '음료가 맛있어요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '가성비가 좋아요': '1', '매장이 청결해요': '1'}",35.8531877,128.5366504
모니나,0.0,77,74,대구 달서구 와룡로49길 101 1층,NO INFO,0507-1362-9260,https://www.instagram.com/cafe_monina,"안녕하세요 : )
대구 용산동 골목에 위치한 디저트카페모니나 입니다~
뭐니뭐니해도 디저트는 모니나
당일 만들어진 디저트만 판매하고 있어요!",NO INFO,"{'디저트가 맛있어요': '63', '친절해요': '48', '매장이 청결해요': '35', '커피가 맛있어요': '28', '음료가 맛있어요': '25', '특별한 메뉴가 있어요': '24', '인테리어가 멋져요': '20', '가성비가 좋아요': '12', '사진이 잘 나와요': '9', '대화하기 좋아요': '4'}",35.8542606,128.5315267
달콩카페,4.46,165,18,대구 달서구 와룡로51길 108,NO INFO,0507-1486-1171,NO INFO,"안녕하세요 달콩까페입니다.
저희 달콩까페는 100%수제디저트와 선물세트, 과일청, 커피를 비롯한 음료들을 판매중에 있습니다.
원두는 신선도를 위해 매주 교체하고 있으며 콜롬비아,과테말라,에티오피아 혼합원두를 사용중에 있습니다.
디저트에 들어가는 과일과 견과류들 또한 신선한 최상급 재료들을 사용하여 저희 달콩을 찾아주신 귀한 분들께 대접해드리고 있습니다.
저희 달콩에 오셔서 달콤한 시간 보내시길 바랍니다:)",NO INFO,"{'커피가 맛있어요': '65', '디저트가 맛있어요': '61', '친절해요': '57', '음료가 맛있어요': '51', '대화하기 좋아요': '25', '특별한 메뉴가 있어요': '20', '가성비가 좋아요': '14', '매장이 청결해요': '13', '좌석이 편해요': '8', '화장실이 깨끗해요': '8', '주차하기 편해요': '4', '집중하기 좋아요': '4', '인테리어가 멋져요': '2', '뷰가 좋아요': '1'}",35.8556985,128.5312208
디저트덤덤,0.0,26,6,대구 달서구 와룡로51길 78 1층,09:30 - 19:00,0507-1334-4933,https://www.instagram.com/dessert_dumdum_,"단체문의는 아래 링크로 부탁드려요.
https://open.kakao.com/o/s9fhzuje

여행갈때 간편하게 즐기세요^^

샌드위치덤덤 Box
디저트덤덤 Box

단체주문O",NO INFO,"{'디저트가 맛있어요': '21', '친절해요': '18', '커피가 맛있어요': '13', '특별한 메뉴가 있어요': '10', '선물하기 좋아요': '9', '포장이 깔끔해요': '9', '음료가 맛있어요': '6', '매장이 청결해요': '6', '가성비가 좋아요': '2', '차분한 분위기에요': '1'}",35.85567229999999,128.5328705
화스플라워앤티,4.74,39,0,대구 달서구 와룡로51길 86-24,11:00 - 23:00,053-291-3370,NO INFO,10년간 꽃집을 운영하여 꽃에 대한 노하우가 많으신 사장님이 운영하시는 플라워카페입니다. 꽃 뿐만 아니라 식물도 판매하고 커피도 겸영하는 분위기와 싱그러움이 함께하는 곳 이랍니다.,NO INFO,"{'친절해요': '6', '매장이 청결해요': '4', '가성비가 좋아요': '3', '커피가 맛있어요': '2', '컨셉이 독특해요': '2', '인테리어가 멋져요': '2', '사진이 잘 나와요': '2', '대화하기 좋아요': '2', '디저트가 맛있어요': '1', '음료가 맛있어요': '1', '음식이 맛있어요': '1'}",35.8566443,128.5324901
샌드선샤인 죽전점,0.0,139,78,대구 달서구 와룡로53길 12 1층,08:50 - 19:30,053-710-2979,https://www.instagram.com/sandsunshine05/,주문 즉시 제조로 신선한 제품을 즐길 수 있습니다,NO INFO,"{'친절해요': '67', '매장이 청결해요': '59', '디저트가 맛있어요': '51', '커피가 맛있어요': '39', '특별한 메뉴가 있어요': '29', '가성비가 좋아요': '28', '음료가 맛있어요': '25', '인테리어가 멋져요': '22', '사진이 잘 나와요': '14', '좌석이 편해요': '11', '집중하기 좋아요': '10', '대화하기 좋아요': '8', '주차하기 편해요': '3', '음식이 맛있어요': '2', '화장실이 깨끗해요': '2'}",35.8568647,128.5364618
오놀,0.0,19,1,대구 달서구 와룡로53길 18-8 1층카페오놀,11:00 - 21:00,0507-1373-2492,https://www.instagram.com/,"안녕하세요죽전동신상카페
오놀커피(o,nolcoffee)입니다
커피를 너~무 사랑하는 쥔장언니
커피에 진심을 담아
한잔한잔 정성스레 만들어드릴께요
저희가게 오시는 모든 고객님들
항상 즐겁고 행복한 일만 가득 하시길 바래요

오늘(오놀)커피 한잔 하실래요?",NO INFO,"{'음료가 맛있어요': '10', '친절해요': '10', '커피가 맛있어요': '8', '디저트가 맛있어요': '5', '인테리어가 멋져요': '5', '매장이 청결해요': '3', '가성비가 좋아요': '2', '특별한 메뉴가 있어요': '2', '집중하기 좋아요': '1'}",35.8571465,128.5363027
